date,disaster_type,event_name,location,impact_area,severity_level,title,source,category,wind_speed,rainfall,casualties,damages,damages_normalized,url,scrape_time
2025-08-22,Mưa lớn kéo dài,,"Bắc Bộ, Biển Đông, Điện Biên, Nam Bộ","Bắc Bộ, Biển Đông, Điện Biên, Nam Bộ",Không xác định,"Mưa lớn kéo dài ở TP HCM, giao thông nhiều nơi ùn ứ",Người Lao Động,Thiên tai khí tượng – thủy văn,,50-100 mm,,,,https://nld.com.vn/mua-lon-keo-dai-o-tp-hcm-giao-thong-nhieu-noi-un-u-196250822190744195.htm,2025-12-06T13:41:01.439406
2025-09-30,Mưa lớn kéo dài,,"Trung Bộ, Bắc Bộ, Hà Nội","Trung Bộ, Bắc Bộ, Hà Nội",Không xác định,"Nhiều ngã đường Hà Nội biến thành sông, xe quân đội hỗ trợ đưa học sinh về nhà",Người Lao Động,Thiên tai khí tượng – thủy văn,,,,,,https://nld.com.vn/mua-lon-keo-dai-ha-noi-ngap-nang-nhieu-noi-19625093009380257.htm,2025-12-06T13:41:02.563835
2024-12-15,Mưa lớn kéo dài,,Quảng Ngãi,Quảng Ngãi,Không xác định,"Mưa lớn kéo dài, lũ trên các sông ở Quảng Ngãi lên cao",Người Lao Động,Thiên tai khí tượng – thủy văn,,,,,,https://nld.com.vn/mua-lon-keo-dai-lu-tren-cac-song-o-quang-ngai-len-cao-196241215173912143.htm,2025-12-06T13:41:09.324145
2025-06-19,Mưa lớn kéo dài,,"Bắc Bộ, Trung Bộ, Tây Nguyên, Nam Bộ","Bắc Bộ, Trung Bộ, Tây Nguyên, Nam Bộ",Không xác định,"TP HCM mưa lớn kéo dài, người dân vất vả vì nhiều nơi ngập sâu",Người Lao Động,Thiên tai khí tượng – thủy văn,,,,,,https://nld.com.vn/tp-hcm-mua-lon-keo-dai-nguoi-dan-vat-va-vi-nhieu-noi-ngap-sau-196250619171506457.htm,2025-12-06T13:41:10.898727
2025-11-17,Mưa lớn kéo dài,,,Không xác định,Không xác định,"Mưa lớn kéo dài, nhiều xã ở Bà Rịa - Vũng Tàu cũ thiệt hại nặng nề",Người Lao Động,Thiên tai khí tượng – thủy văn,,,,,,https://nld.com.vn/mua-lon-keo-dai-nhieu-xa-o-ba-ria-vung-tau-cu-thiet-hai-nang-ne-196251117150610891.htm,2025-12-06T13:41:12.669193
2024-11-24,Mưa lớn kéo dài,,Quảng Ngãi,Quảng Ngãi,Không xác định,"Người dân Quảng Ngãi kể chuyện mưa lớn kéo dài, lũ nhấn chìm hàng chục ngôi nhà",Người Lao Động,Thiên tai khí tượng – thủy văn,,,,,,https://nld.com.vn/quang-ngai-mua-lon-keo-dai-lu-nhan-chim-hang-chuc-nha-dan-196241124144636818.htm,2025-12-06T13:41:18.927760
2025-11-04,Mưa lớn kéo dài,Bão Kalmaegi,Nam Bộ,Nam Bộ,Không xác định,"TP HCM: Mưa lớn kéo dài trong đêm, ngập nặng, xe cộ “chết đứng”",Người Lao Động,Thiên tai khí tượng – thủy văn,,70-130 mm,,,,https://nld.com.vn/tp-hcm-mua-lon-keo-dai-trong-dem-ngap-nang-xe-co-chet-dung-1962511042338452.htm,2025-12-06T13:41:24.045588
2025-05-22,Mưa lớn kéo dài,,"Trung Bộ, Nam Bộ, Tây Nguyên","Trung Bộ, Nam Bộ, Tây Nguyên",Không xác định,TP HCM bước vào đợt mưa lớn kéo dài hơn 5 ngày,Người Lao Động,Thiên tai khí tượng – thủy văn,,30-70 mm,,,,https://nld.com.vn/chi-tiet-dot-mua-lon-keo-dai-tu-hom-nay-o-tp-hcm-196250522105719615.htm,2025-12-06T13:41:25.630428
2025-06-12,Mưa lớn kéo dài,,,Không xác định,Không xác định,Lùi chung kết hoa hậu Việt Nam 2024 vì mưa lớn kéo dài,Người Lao Động,Thiên tai khí tượng – thủy văn,,,,,,https://nld.com.vn/lui-chung-ket-hoa-hau-viet-nam-2024-vi-mua-lon-keo-dai-19625061221135781.htm,2025-12-06T13:41:34.201135
2025-08-03,"Lũ, lũ quét",,"Nghệ An, Điện Biên, Sơn La","Nghệ An, Điện Biên, Sơn La",Không xác định,"Thủ tướng chỉ đạo tập trung khắc phục hậu quả mưa lũ, lũ quét, sạt lở đất",Sài Gòn Giải Phóng,Thiên tai khí tượng – thủy văn,,,,,,https://www.sggp.org.vn/thu-tuong-chi-dao-tap-trung-khac-phuc-hau-qua-mua-lu-lu-quet-sat-lo-dat-post806658.html,2025-12-06T13:41:57.866580
2025-11-14,"Lũ, lũ quét",,"Đà Nẵng, Khánh Hòa, Gia Lai, Đắk Lắk, Quảng Ngãi","Đà Nẵng, Khánh Hòa, Gia Lai, Đắk Lắk, Quảng Ngãi",Không xác định,Khu vực nào sắp có mưa lớn tới 800mm?,Dân Trí,Thiên tai khí tượng – thủy văn,,150-350 mm,,,,https://dantri.com.vn/thoi-su/khu-vuc-nao-sap-co-mua-lon-toi-800mm-20251114184746063.htm,2025-12-06T13:42:12.250822
2025-11-29,"Lũ, lũ quét",Lũ lụt lịch sử,Miền Nam,Miền Nam,Không xác định,48 giờ sinh tồn của gia đình Thái Lan trong cơn đại hồng thủy,Dân Trí,Thiên tai khí tượng – thủy văn,,335 mm,162 người chết,,,https://dantri.com.vn/the-gioi/48-gio-sinh-ton-cua-gia-dinh-thai-lan-trong-con-dai-hong-thuy-20251129161857745.htm,2025-12-06T13:42:12.863543
2025-11-13,"Lũ, lũ quét",Lũ lụt và thông tin kịp thờ,"Khánh Hòa, Đắk Lắk, Quảng Trị, Miền Trung, Đà Nẵng","Khánh Hòa, Đắk Lắk, Quảng Trị, Miền Trung, Đà Nẵng",Không xác định,"Nhiều tỉnh miền Trung sắp mưa lớn, có nơi trên 700mm",Dân Trí,Thiên tai khí tượng – thủy văn,,150-300 mm,,,,https://dantri.com.vn/thoi-su/nhieu-tinh-mien-trung-sap-mua-lon-co-noi-tren-700mm-20251113204055537.htm,2025-12-06T13:42:13.557850
2025-11-26,"Lũ, lũ quét","Lũ lụt do mưa lớn
(Dân trí)","Miền Nam, Miền Trung","Miền Nam, Miền Trung",Không xác định,"Thái Lan, Malaysia chìm trong lũ lụt do mưa lớn",Dân Trí,Thiên tai khí tượng – thủy văn,,,13 người chết,,,https://dantri.com.vn/the-gioi/thai-lan-malaysia-chim-trong-lu-lut-do-mua-lon-20251126055003655.htm,2025-12-06T13:42:14.827379
2025-12-01,"Lũ, lũ quét",,"Đà Nẵng, Trung Bộ, Khánh Hòa, Gia Lai, Đắk Lắk","Đà Nẵng, Trung Bộ, Khánh Hòa, Gia Lai, Đắk Lắk",Không xác định,Bạn đọc Dân trí tiếp tục hỗ trợ người dân Huế khắc phục hậu quả mưa lũ,Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/tam-long-nhan-ai/ban-doc-dan-tri-tiep-tuc-ho-tro-nguoi-dan-hue-khac-phuc-hau-qua-mua-lu-20251130192705314.htm,2025-12-06T13:42:15.426285
2025-11-26,"Lũ, lũ quét",Bão Koto,Lâm Đồng,Lâm Đồng,Không xác định,"Lâm Đồng yêu cầu rà soát hồ đập thủy lợi, ứng phó bão số 15",Dân Trí,Thiên tai khí tượng – thủy văn,,,"5 người chết, 1 người bị thương",,,https://dantri.com.vn/thoi-su/lam-dong-yeu-cau-ra-soat-ho-dap-thuy-loi-ung-pho-bao-so-15-20251126170930512.htm,2025-12-06T13:42:16.755971
2025-12-03,"Lũ, lũ quét",,"Miền Nam, Miền Trung, Tây Nguyên, Trung Bộ","Miền Nam, Miền Trung, Tây Nguyên, Trung Bộ",Không xác định,Thay đổi tư duy từ “chống” sang “sống cùng” với lũ,Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/thoi-su/thay-doi-tu-duy-tu-chong-sang-song-cung-voi-lu-20251126203623920.htm,2025-12-06T13:42:17.400908
2025-11-26,"Lũ, lũ quét",Lũ lụt nghiêm trọng càn qué,Miền Nam,Miền Nam,Không xác định,Lũ lụt nghiêm trọng càn quét các nước Đông Nam Á,Dân Trí,Thiên tai khí tượng – thủy văn,,,"8 người chết, 58 người bị thương",,,https://dantri.com.vn/the-gioi/lu-lut-nghiem-trong-can-quet-cac-nuoc-dong-nam-a-20251126150132082.htm,2025-12-06T13:42:18.568758
2025-12-02,"Lũ, lũ quét",Lũ lụt ở miền Trung đang th,"Trung Bộ, Nam Bộ, Khánh Hòa, Hà Nội, Gia Lai","Trung Bộ, Nam Bộ, Khánh Hòa, Hà Nội, Gia Lai",Không xác định,"“Lũ không chảy theo địa giới hành chính"" và giải pháp căn cơ từ lưu vực",Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/khoa-hoc/lu-khong-chay-theo-dia-gioi-hanh-chinh-va-giai-phap-can-co-tu-luu-vuc-20251125220220434.htm,2025-12-06T13:42:19.181600
2025-12-04,"Lũ, lũ quét",,"Đồng bằng sông Hồng, Lâm Đồng, Đà Nẵng, Miền Trung, Đắk Lắk","Đồng bằng sông Hồng, Lâm Đồng, Đà Nẵng, Miền Trung, Đắk Lắk",Không xác định,"""Nước mắt vịnh tôm hùm"" và những vụ mùa tiền tỷ đặt cược vào ông trời",Dân Trí,Thiên tai khí tượng – thủy văn,,,,610 tỷ đồng,610.0,https://dantri.com.vn/khoa-hoc/nuoc-mat-vinh-tom-hum-va-nhung-vu-mua-tien-ty-dat-cuoc-vao-ong-troi-20251202155343788.htm,2025-12-06T13:42:19.814681
2025-11-25,"Lũ, lũ quét",,"Khánh Hòa, Miền Bắc, Miền Trung","Khánh Hòa, Miền Bắc, Miền Trung",Không xác định,Chủ quán trà sữa 7 lần dán mã QR để khách thanh toán vào tài khoản UBMTTQ,Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/doi-song/chu-quan-tra-sua-7-lan-dan-ma-qr-de-khach-thanh-toan-vao-tai-khoan-ubmttq-20251124184025423.htm,2025-12-06T13:42:20.876182
2025-12-05,"Lũ, lũ quét",Bão Bualoi,Lào Cai,Lào Cai,Không xác định,“Mong rằng ngọn lửa nhân ái sẽ lan tỏa và cháy mãi”,Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/tam-long-nhan-ai/mong-rang-ngon-lua-nhan-ai-se-lan-toa-va-chay-mai-20251205120041242.htm,2025-12-06T13:42:21.518626
2025-11-22,"Lũ, lũ quét",,"Ninh Thuận, Đà Nẵng, Khánh Hòa, Gia Lai, Đắk Lắk","Ninh Thuận, Đà Nẵng, Khánh Hòa, Gia Lai, Đắk Lắk",Không xác định,"Nơi “gió như phang, nắng như rang” tan hoang sau trận lũ lịch sử",Dân Trí,Thiên tai khí tượng – thủy văn,,,"43 người chết, 9 người mất tích",,,https://dantri.com.vn/thoi-su/noi-gio-nhu-phang-nang-nhu-rang-tan-hoang-sau-tran-lu-lich-su-20251122121400884.htm,2025-12-06T13:42:22.505952
2025-12-03,"Lũ, lũ quét",Lũ lụt cũng làm nhiều ô tô,"Khánh Hòa, Quảng Ngãi, Đà Nẵng, Quảng Trị","Khánh Hòa, Quảng Ngãi, Đà Nẵng, Quảng Trị",Không xác định,"Quảng Trị, Huế, Đà Nẵng cảnh báo mưa rất to, cường độ lớn suốt một ngày",Dân Trí,Thiên tai khí tượng – thủy văn,,70-150 mm,22 người chết,,,https://dantri.com.vn/thoi-su/quang-tri-hue-da-nang-canh-bao-mua-rat-to-cuong-do-lon-suot-mot-ngay-20251203173905065.htm,2025-12-06T13:42:23.132385
2025-11-27,"Lũ, lũ quét",,"Đắk Lắk, Gia Lai, Quảng Ngãi","Đắk Lắk, Gia Lai, Quảng Ngãi",Không xác định,"Bộ đội tìm thấy ""gia tài"" tiền, vàng bị lũ cuốn của bà lão ở Đắk Lắk",Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/doi-song/bo-doi-tim-thay-gia-tai-tien-vang-bi-lu-cuon-cua-ba-lao-o-dak-lak-20251127120737019.htm,2025-12-06T13:42:24.354664
2025-11-22,"Lũ, lũ quét",,"Lâm Đồng, Lào Cai","Lâm Đồng, Lào Cai",Không xác định,Nước mắt miền Trung sau lũ dữ,Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/thoi-su/nuoc-mat-mien-trung-sau-lu-du-20251122134259350.htm,2025-12-06T13:42:25.488431
2025-08-03,"Lũ, lũ quét",,"Nghệ An, Điện Biên, Sơn La","Nghệ An, Điện Biên, Sơn La",Không xác định,Tổng Bí thư: Tập trung xây dựng nhà cho những người dân mất nhà sau lũ quét,Dân Trí,Thiên tai khí tượng – thủy văn,,,"4 người chết, 12 người bị thương",,,https://dantri.com.vn/thoi-su/tong-bi-thu-tap-trung-xay-dung-nha-cho-nhung-nguoi-dan-mat-nha-sau-lu-quet-20250803220430217.htm,2025-12-06T13:42:26.750937
2025-11-23,"Lũ, lũ quét",Lũ lụt nên mỗi nhà đã làm m,"Bình Định, Gia Lai","Bình Định, Gia Lai",Không xác định,"Bốn ngày chạy lũ trở về, người bảo vệ rơi nước mắt trước cảnh nhà đổ nát",Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/thoi-su/bon-ngay-chay-lu-tro-ve-nguoi-bao-ve-roi-nuoc-mat-truoc-canh-nha-do-nat-20251122055628478.htm,2025-12-06T13:42:27.933744
2025-12-01,"Lũ, lũ quét",Lũ lụt lịch sử gây thiệt hạ,"Khánh Hòa, Quảng Ngãi, Lâm Đồng, Đà Nẵng, Quảng Trị","Khánh Hòa, Quảng Ngãi, Lâm Đồng, Đà Nẵng, Quảng Trị",Không xác định,Cảnh báo mưa rất to từ Quảng Ngãi đến Khánh Hòa,Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/thoi-su/canh-bao-mua-rat-to-tu-quang-ngai-den-khanh-hoa-20251201172206251.htm,2025-12-06T13:42:31.092747
2025-11-24,"Lũ, lũ quét",,"Lâm Đồng, Tuyên Quang, Miền Trung, Đà Nẵng, Quảng Ngãi","Lâm Đồng, Tuyên Quang, Miền Trung, Đà Nẵng, Quảng Ngãi",Không xác định,Đoàn chuyên gia địa chất tới Lâm Đồng khảo sát tình trạng sạt lở,Dân Trí,Thiên tai khí tượng – thủy văn,,,11 người chết,,,https://dantri.com.vn/thoi-su/doan-chuyen-gia-dia-chat-toi-lam-dong-khao-sat-tinh-trang-sat-lo-20251124201028718.htm,2025-12-06T13:42:32.608174
2025-12-06,"Lũ, lũ quét",,"Đắk Lắk, Quảng Ngãi","Đắk Lắk, Quảng Ngãi",Không xác định,Xóm nằm dưới cửa xả Thủy điện Sông Ba Hạ xơ xác sau lũ dữ,Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/thoi-su/xom-nam-duoi-cua-xa-thuy-dien-song-ba-ha-xo-xac-sau-lu-du-20251206084022111.htm,2025-12-06T13:42:33.451709
2025-11-22,"Lũ, lũ quét",,"Khánh Hòa, Bắc Ninh, Trung Bộ, Đắk Lắk, Gia Lai","Khánh Hòa, Bắc Ninh, Trung Bộ, Đắk Lắk, Gia Lai",Không xác định,Diễn biến mưa lũ tại các tỉnh Nam Trung Bộ sáng 22/11,Dân Trí,Thiên tai khí tượng – thủy văn,,50-100 mm,14 người chết,,,https://dantri.com.vn/thoi-su/dien-bien-mua-lu-tai-cac-tinh-nam-trung-bo-sang-2211-20251122070110303.htm,2025-12-06T13:42:34.656957
2025-09-30,"Lũ, lũ quét",Bão Bualoi,"Lào Cai, Cao Bằng, Quảng Ninh, Thanh Hóa, Sơn La","Lào Cai, Cao Bằng, Quảng Ninh, Thanh Hóa, Sơn La",Không xác định,"Cảnh báo rủi ro thiên tai cấp cao nhất do lũ quét, sạt lở đất tại 4 tỉnh",Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/thoi-su/canh-bao-rui-ro-thien-tai-cap-cao-nhat-do-lu-quet-sat-lo-dat-tai-4-tinh-20250930151506420.htm,2025-12-06T13:42:35.922439
2025-09-17,"Lũ, lũ quét",,"Lâm Đồng, Khánh Hòa, Biển Đông, Nam Bộ","Lâm Đồng, Khánh Hòa, Biển Đông, Nam Bộ",Không xác định,Xã vừa bị lũ quét phải di dân khỏi vùng nguy hiểm trước áp thấp nhiệt đới,Dân Trí,Thiên tai khí tượng – thủy văn,,10-30 mm,,,,https://dantri.com.vn/thoi-su/xa-vua-bi-lu-quet-phai-di-dan-khoi-vung-nguy-hiem-truoc-ap-thap-nhiet-doi-20250917160915676.htm,2025-12-06T13:42:37.122002
2025-11-30,"Lũ, lũ quét",Bão Senyar,Miền Nam,Miền Nam,Không xác định,"Lũ lụt càn quét các nước Đông Nam Á, hàng trăm người thiệt mạng",Dân Trí,Thiên tai khí tượng – thủy văn,,335 mm,"2 người chết, 170 người mất tích",,,https://dantri.com.vn/the-gioi/lu-lut-can-quet-cac-nuoc-dong-nam-a-hang-tram-nguoi-thiet-mang-20251130144332034.htm,2025-12-06T13:42:38.247383
2025-11-24,"Lũ, lũ quét",Lũ lụt đối với cơ sở vật ch,"Trung Bộ, Đắk Lắk","Trung Bộ, Đắk Lắk",Không xác định,"Nhà mất, người trắng tay: Những phận đời bơ vơ sau lũ ở Hòa Thịnh",Dân Trí,Thiên tai khí tượng – thủy văn,,,"23 người chết, 2 người bị thương, 1 người mất tích",,,https://dantri.com.vn/thoi-su/nha-mat-nguoi-trang-tay-nhung-phan-doi-bo-vo-sau-lu-o-hoa-thinh-20251123235823109.htm,2025-12-06T13:42:39.145569
2025-11-21,"Lũ, lũ quét",,Gia Lai,Gia Lai,Không xác định,"Lũ quét qua trang trại, 15 con bò chết ngổn ngang trong chuồng",Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/thoi-su/lu-quet-qua-trang-trai-15-con-bo-chet-ngon-ngang-trong-chuong-20251121212743213.htm,2025-12-06T13:42:40.100827
2025-11-22,"Lũ, lũ quét",,"Đồng Nai, Lâm Đồng, Biển Đông","Đồng Nai, Lâm Đồng, Biển Đông",Không xác định,Lâm Đồng yêu cầu các công ty thủy điện hạ mực nước hồ để phòng lũ,Dân Trí,Thiên tai khí tượng – thủy văn,,,"5 người chết, 1 người bị thương",,,https://dantri.com.vn/thoi-su/lam-dong-yeu-cau-cac-cong-ty-thuy-dien-ha-muc-nuoc-ho-de-phong-lu-20251122191110521.htm,2025-12-06T13:42:41.343188
2025-11-27,"Lũ, lũ quét",Lũ lụt và lở đất,,Không xác định,Không xác định,"Bão bất thường đổ bộ Indonesia gây lũ lụt và lở đất, 28 người chết",Dân Trí,Thiên tai khí tượng – thủy văn,,,"28 người chết, 10 người mất tích",,,https://dantri.com.vn/the-gioi/bao-bat-thuong-do-bo-indonesia-gay-lu-lut-va-lo-dat-28-nguoi-chet-20251127144849625.htm,2025-12-06T13:42:41.944494
2025-12-01,"Lũ, lũ quét",,Đắk Lắk,Đắk Lắk,Không xác định,Quân đội dựng lều dã chiến cho người dân vùng lũ ở khi chờ xây nhà mới,Dân Trí,Thiên tai khí tượng – thủy văn,,,25 người chết,,,https://dantri.com.vn/thoi-su/quan-doi-dung-leu-da-chien-cho-nguoi-dan-vung-lu-o-khi-cho-xay-nha-moi-20251201114937275.htm,2025-12-06T13:42:42.750189
2025-10-06,"Lũ, lũ quét",Bão Matmo,"Miền Bắc, Bắc Bộ, Thanh Hóa, Trung Bộ","Miền Bắc, Bắc Bộ, Thanh Hóa, Trung Bộ",Không xác định,Hoàn lưu bão Matmo có thể gây mưa to và dông lốc ở miền Bắc,Dân Trí,Thiên tai khí tượng – thủy văn,,100-200 mm,,,,https://dantri.com.vn/thoi-su/hoan-luu-bao-matmo-co-the-gay-mua-to-va-dong-loc-o-mien-bac-20251006141237668.htm,2025-12-06T13:42:43.694436
2025-12-01,"Lũ, lũ quét",Bão Senyar,,Không xác định,Không xác định,Mưa lũ khiến hơn 900 người thiệt mạng ở châu Á,Dân Trí,Thiên tai khí tượng – thủy văn,,,"900 người chết, 200 người mất tích",,,https://dantri.com.vn/the-gioi/mua-lu-khien-hon-900-nguoi-thiet-mang-o-chau-a-20251201104936528.htm,2025-12-06T13:42:44.948024
2025-10-22,"Lũ, lũ quét",Bão Fengshen,"Đà Nẵng, Trung Bộ, Quảng Ngãi, Hà Tĩnh, Quảng Trị","Đà Nẵng, Trung Bộ, Quảng Ngãi, Hà Tĩnh, Quảng Trị",Không xác định,Thủ tướng yêu cầu hoãn các cuộc họp chưa cần thiết để ứng phó bão lũ,Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/thoi-su/thu-tuong-yeu-cau-hoan-cac-cuoc-hop-chua-can-thiet-de-ung-pho-bao-lu-20251022220955989.htm,2025-12-06T13:42:46.107482
2025-11-24,"Lũ, lũ quét",,Ninh Thuận,Ninh Thuận,Không xác định,Thủ phủ nho của cả nước cắt bỏ hàng tấn nho vụ Tết sau trận lũ lịch sử,Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/thoi-su/thu-phu-nho-cua-ca-nuoc-cat-bo-hang-tan-nho-vu-tet-sau-tran-lu-lich-su-20251124145143554.htm,2025-12-06T13:42:48.390795
2025-11-20,"Lũ, lũ quét",,"Khánh Hòa, Trung Bộ, Lâm Đồng, Đà Nẵng, Quảng Trị","Khánh Hòa, Trung Bộ, Lâm Đồng, Đà Nẵng, Quảng Trị",Không xác định,Chuyên gia nhận định về đợt mưa lũ lịch sử đang diễn ra ở miền Trung,Dân Trí,Thiên tai khí tượng – thủy văn,,100-200 mm,,,,https://dantri.com.vn/thoi-su/chuyen-gia-nhan-dinh-ve-dot-mua-lu-lich-su-dang-dien-ra-o-mien-trung-20251120140409055.htm,2025-12-06T13:42:49.489522
2025-11-25,"Lũ, lũ quét",,"Đà Nẵng, Miền Trung","Đà Nẵng, Miền Trung",Không xác định,Bạn đọc Dân trí hỗ trợ người dân Đà Nẵng 100 triệu đồng khắc phục bão lũ,Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/tam-long-nhan-ai/ban-doc-dan-tri-ho-tro-nguoi-dan-da-nang-100-trieu-dong-khac-phuc-bao-lu-20251125080136419.htm,2025-12-06T13:42:50.800504
2025-11-20,"Lũ, lũ quét",,"Phú Yên, Đắk Lắk, Đà Nẵng, Lâm Đồng","Phú Yên, Đắk Lắk, Đà Nẵng, Lâm Đồng",Không xác định,Những ánh mắt hoảng loạn trong dòng lũ vây vùng Phú Yên,Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/thoi-su/nhung-anh-mat-hoang-loan-trong-dong-lu-vay-vung-phu-yen-20251120170619258.htm,2025-12-06T13:42:51.647565
2025-12-04,"Lũ, lũ quét",,"Khánh Hòa, Quảng Ninh","Khánh Hòa, Quảng Ninh",Không xác định,"Dự báo xuất hiện đợt lũ mới trên sông Cái Nha Trang, nhiều nơi bị ngập",Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/thoi-su/du-bao-xuat-hien-dot-lu-moi-tren-song-cai-nha-trang-nhieu-noi-bi-ngap-20251204084903319.htm,2025-12-06T13:42:53.733202
2025-11-14,"Lũ, lũ quét",,"Quảng Nam, Đà Nẵng, Trung Bộ","Quảng Nam, Đà Nẵng, Trung Bộ",Không xác định,Có thể xuất hiện đợt lũ lớn kéo dài trên các sông ở Đà Nẵng,Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/thoi-su/co-the-xuat-hien-dot-lu-lon-keo-dai-tren-cac-song-o-da-nang-20251114170713036.htm,2025-12-06T13:42:55.074517
2025-11-26,"Lũ, lũ quét",Lũ lụt đối với đồng bào của,"Nghệ An, Bình Định, Trung Bộ, Tây Nguyên, Phú Yên","Nghệ An, Bình Định, Trung Bộ, Tây Nguyên, Phú Yên",Không xác định,"Tiểu thương đóng cửa hàng, bệnh nhân ung thư quên mệt cứu trợ vùng lũ",Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/doi-song/tieu-thuong-dong-cua-hang-benh-nhan-ung-thu-quen-met-cuu-tro-vung-lu-20251125124202365.htm,2025-12-06T13:42:57.724545
2025-11-21,"Lũ, lũ quét",,"Đà Nẵng, Trung Bộ, Khánh Hòa, Quảng Ngãi, Tuyên Quang","Đà Nẵng, Trung Bộ, Khánh Hòa, Quảng Ngãi, Tuyên Quang",Không xác định,“Lũ quét và sạt lở đất đang là một thách thức lớn không chỉ với Việt Nam”,Dân Trí,Thiên tai khí tượng – thủy văn,,50 mm,750 người chết,,,https://dantri.com.vn/thoi-su/lu-quet-va-sat-lo-dat-dang-la-mot-thach-thuc-lon-khong-chi-voi-viet-nam-20251121134014404.htm,2025-12-06T13:42:59.511631
2025-11-22,"Lũ, lũ quét",,"Đắk Lắk, Phú Yên","Đắk Lắk, Phú Yên",Không xác định,"Nơi cơn ""đại hồng thủy"" vừa đi qua",Dân Trí,Thiên tai khí tượng – thủy văn,,,"27 người chết, 2 người bị thương, 8 người mất tích",,,https://dantri.com.vn/thoi-su/noi-con-dai-hong-thuy-vua-di-qua-20251122133959064.htm,2025-12-06T13:43:00.499631
2025-11-20,"Lũ, lũ quét",,Lâm Đồng,Lâm Đồng,Không xác định,"Nước lũ cuốn trôi vườn sen đá tiền tỷ ở Đà Lạt, chủ vườn bất lực khóc ròng",Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/doi-song/nuoc-lu-cuon-troi-vuon-sen-da-tien-ty-o-da-lat-chu-vuon-bat-luc-khoc-rong-20251120135619657.htm,2025-12-06T13:43:02.260562
2025-11-29,"Lũ, lũ quét",Lũ lụt tại xã Hòa Thịnh,"Đồng Tháp, Trung Bộ, Đắk Lắk","Đồng Tháp, Trung Bộ, Đắk Lắk",Không xác định,Hòa Thịnh ấm lòng sau lũ dữ với đủ mọi dịch vụ 0 đồng,Dân Trí,Thiên tai khí tượng – thủy văn,,,25 người chết,,,https://dantri.com.vn/thoi-su/hoa-thinh-am-long-sau-lu-du-voi-du-moi-dich-vu-0-dong-20251129132044462.htm,2025-12-06T13:43:04.022416
2025-11-22,"Lũ, lũ quét",,"Lào Cai, Lâm Đồng","Lào Cai, Lâm Đồng",Không xác định,Cảnh hoang tàn sau khi nước rút ở vùng lũ Phú Yên,Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/thoi-su/canh-hoang-tan-sau-khi-nuoc-rut-o-vung-lu-phu-yen-20251122082510066.htm,2025-12-06T13:43:05.321455
2025-12-01,"Lũ, lũ quét",,"Phú Yên, Bình Định, Quảng Nam, Thái Nguyên, Vĩnh Phúc","Phú Yên, Bình Định, Quảng Nam, Thái Nguyên, Vĩnh Phúc",Không xác định,Ký túc xá ở TPHCM miễn phí gần một năm cho hàng chục sinh viên vùng lũ,Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/giao-duc/ky-tuc-xa-o-tphcm-mien-phi-gan-mot-nam-cho-hang-chuc-sinh-vien-vung-lu-20251201011559133.htm,2025-12-06T13:43:05.913588
2025-09-30,"Lũ, lũ quét",Bão Bualoi,"Thanh Hóa, Hà Tĩnh, Nghệ An, Bắc Ninh, Bắc Bộ","Thanh Hóa, Hà Tĩnh, Nghệ An, Bắc Ninh, Bắc Bộ",Không xác định,"Cảnh báo nguy cơ rất cao về lũ quét, sạt lở đất ở nhiều địa phương miền Bắc",Dân Trí,Thiên tai khí tượng – thủy văn,,,,,,https://dantri.com.vn/thoi-su/canh-bao-nguy-co-rat-cao-ve-lu-quet-sat-lo-dat-o-nhieu-dia-phuong-mien-bac-20250930112922783.htm,2025-12-06T13:43:06.497014
